user_id,username,phone,user_type,vehicle_type,vehicle_model,registration_date,total_charge_count,total_charge_kwh,preferred_city_id
U00001,user_1,13894461580,物流车用户,物流车,理想ONE,2023-02-28,91,29.46,8
U00002,user_2,13863825888,网约车用户,轿车,特斯拉Model 3,2023-12-25,184,930.79,6
U00003,user_3,13811452660,物流车用户,出租车,比亚迪汉,2023-03-28,135,2571.59,3
U00004,user_4,13877293029,物流车用户,轿车,比亚迪汉,2024-11-03,64,1130.48,7
U00005,user_5,13871325903,网约车用户,出租车,比亚迪汉,2024-07-03,68,543.47,8
U00006,user_6,13881983651,出租车用户,MPV,理想ONE,2023-01-06,91,4417.88,4
U00007,user_7,13828134105,网约车用户,轿车,比亚迪汉,2024-02-09,107,3719.62,1
U00008,user_8,13836264260,物流车用户,MPV,特斯拉Model 3,2024-03-07,125,2750.62,3
U00009,user_9,13863227551,物流车用户,SUV,特斯拉Model 3,2023-04-21,5,630.62,6
U00010,user_10,13891921223,出租车用户,轿车,蔚来ES6,2024-03-15,152,3687.16,7
U00011,user_11,13888675742,网约车用户,出租车,特斯拉Model 3,2024-03-15,63,3088.07,3
U00012,user_12,13850875606,私家车用户,MPV,比亚迪汉,2024-11-13,109,992.06,2
U00013,user_13,13892303968,出租车用户,物流车,比亚迪汉,2023-08-23,30,661.48,1
U00014,user_14,13854864148,出租车用户,出租车,特斯拉Model 3,2024-09-23,51,454.68,1
U00015,user_15,13872317673,网约车用户,SUV,比亚迪汉,2023-12-11,109,2395.98,7
U00016,user_16,13818465985,私家车用户,MPV,蔚来ES6,2023-10-15,89,3557.93,4
U00017,user_17,13862401779,出租车用户,轿车,特斯拉Model 3,2023-02-23,169,3723.77,4
U00018,user_18,13856748734,网约车用户,物流车,特斯拉Model 3,2024-03-17,47,1261.32,8
U00019,user_19,13869566476,网约车用户,轿车,特斯拉Model 3,2024-11-16,3,3414.81,3
U00020,user_20,13864266907,网约车用户,物流车,小鹏P7,2024-09-11,95,1191.26,5
U00021,user_21,13844417292,私家车用户,轿车,比亚迪汉,2024-10-06,190,3009.18,1
U00022,user_22,13841204160,物流车用户,轿车,特斯拉Model 3,2024-07-13,158,1714.49,8
U00023,user_23,13843099741,出租车用户,轿车,比亚迪汉,2023-07-16,107,2752.48,5
U00024,user_24,13866906996,物流车用户,轿车,理想ONE,2023-03-11,123,2095.02,1
U00025,user_25,13837355491,出租车用户,MPV,特斯拉Model 3,2024-08-02,15,3971.95,4
U00026,user_26,13875129110,私家车用户,SUV,理想ONE,2024-06-05,98,2812.49,7
U00027,user_27,13875675448,出租车用户,SUV,特斯拉Model 3,2023-06-13,146,1089.04,1
U00028,user_28,13894018461,网约车用户,MPV,比亚迪汉,2023-10-31,181,1342.57,2
U00029,user_29,13838034668,私家车用户,物流车,比亚迪汉,2023-10-26,10,3198.08,5
U00030,user_30,13831785430,私家车用户,SUV,比亚迪汉,2024-07-01,29,7,6
U00031,user_31,13870476317,私家车用户,物流车,蔚来ES6,2023-05-17,104,4491.68,5
U00032,user_32,13863181938,私家车用户,MPV,比亚迪汉,2023-10-14,45,1279.94,1
U00033,user_33,13898042743,物流车用户,MPV,小鹏P7,2024-07-18,52,4084.24,4
U00034,user_34,13863125403,出租车用户,物流车,理想ONE,2023-06-09,114,1158.62,7
U00035,user_35,13870393430,物流车用户,轿车,理想ONE,2023-07-05,117,925.14,3
U00036,user_36,13840949036,出租车用户,MPV,特斯拉Model 3,2023-11-14,41,4426.27,7
U00037,user_37,13840772137,出租车用户,轿车,理想ONE,2023-09-09,116,4545.66,7
U00038,user_38,13826429630,出租车用户,轿车,小鹏P7,2023-04-13,96,1919.95,2
U00039,user_39,13812221716,出租车用户,SUV,特斯拉Model 3,2023-10-02,36,4692.99,1
U00040,user_40,13811532742,网约车用户,轿车,比亚迪汉,2023-05-23,122,3798.36,8
U00041,user_41,13836726036,网约车用户,出租车,比亚迪汉,2023-09-07,14,2717.63,5
U00042,user_42,13899063016,私家车用户,轿车,特斯拉Model 3,2024-07-11,75,512.83,7
U00043,user_43,13833231019,出租车用户,轿车,比亚迪汉,2024-03-13,98,736.88,5
U00044,user_44,13847007303,私家车用户,出租车,比亚迪汉,2023-04-23,57,508.68,5
U00045,user_45,13868542249,网约车用户,轿车,蔚来ES6,2023-03-28,11,3022.53,3
U00046,user_46,13880229691,网约车用户,物流车,比亚迪汉,2024-11-26,108,751.1,5
U00047,user_47,13857026707,私家车用户,MPV,理想ONE,2024-11-08,94,4664.41,2
U00048,user_48,13810353435,出租车用户,MPV,比亚迪汉,2024-02-04,114,3606.72,8
U00049,user_49,13821022854,物流车用户,MPV,比亚迪汉,2023-04-03,82,4973.86,3
U00050,user_50,13873086777,网约车用户,出租车,理想ONE,2024-05-07,177,4864.24,6
U00051,user_51,13832645028,物流车用户,出租车,小鹏P7,2024-05-24,137,2668.85,4
U00052,user_52,13873012369,物流车用户,物流车,小鹏P7,2024-12-11,191,1096.67,2
U00053,user_53,13848536926,私家车用户,SUV,特斯拉Model 3,2024-01-07,142,2369.63,3
U00054,user_54,13828041976,网约车用户,MPV,比亚迪汉,2023-10-29,117,720.7,7
U00055,user_55,13849734452,出租车用户,轿车,比亚迪汉,2023-05-01,178,3519.81,7
U00056,user_56,13814317958,网约车用户,轿车,特斯拉Model 3,2024-11-09,148,368.85,3
U00057,user_57,13814943406,网约车用户,SUV,特斯拉Model 3,2023-09-08,19,62.39,7
U00058,user_58,13834523988,物流车用户,SUV,小鹏P7,2024-12-16,76,2350.92,6
U00059,user_59,13882741216,网约车用户,轿车,比亚迪汉,2023-03-03,164,160.6,3
U00060,user_60,13892453627,私家车用户,出租车,理想ONE,2024-11-27,116,2770.78,5
